"Date (UTC)","CorrelationId","Service","Category","Activity","Result","ResultReason","User Agent","ActorType","ActorDisplayName","ActorObjectId","ActorUserPrincipalName","IPAddress","ActorHomeTenantId","ActorHomeTenantName","ActorServicePrincipalId","ActorServicePrincipalName","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target1ModifiedProperty1Name","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target2ModifiedProperty1Name","Target2ModifiedProperty1OldValue","Target2ModifiedProperty1NewValue","Target2ModifiedProperty2Name","Target2ModifiedProperty2OldValue","Target2ModifiedProperty2NewValue","Target2ModifiedProperty3Name","Target2ModifiedProperty3OldValue","Target2ModifiedProperty3NewValue","Target2ModifiedProperty4Name","Target2ModifiedProperty4OldValue","Target2ModifiedProperty4NewValue","Target2ModifiedProperty5Name","Target2ModifiedProperty5OldValue","Target2ModifiedProperty5NewValue","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName","Target3ModifiedProperty1Name","Target3ModifiedProperty1OldValue","Target3ModifiedProperty1NewValue","Target3ModifiedProperty2Name","Target3ModifiedProperty2OldValue","Target3ModifiedProperty2NewValue","Target3ModifiedProperty3Name","Target3ModifiedProperty3OldValue","Target3ModifiedProperty3NewValue","Target3ModifiedProperty4Name","Target3ModifiedProperty4OldValue","Target3ModifiedProperty4NewValue","Target3ModifiedProperty5Name","Target3ModifiedProperty5OldValue","Target3ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value","AdditionalDetail2Key","AdditionalDetail2Value","AdditionalDetail3Key","AdditionalDetail3Value","AdditionalDetail4Key","AdditionalDetail4Value","AdditionalDetail5Key","AdditionalDetail5Value","AdditionalDetail6Key","AdditionalDetail6Value"
2025-09-29T20:29:51Z,d330fd10-a0d5-4747-8a61-6f2916bd6d2b,Authentication Methods,UserManagement,User registered security info,Success,User registered App Password,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,137.27.96.204,,,,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransactionId,3f98b16d-8e63-4302-8a57-c374963b9c8e,AuthenticationMethodType,AppPassword,AuthenticationMethod,App Password,,,,,,,{84},{85}
2025-09-29T20:29:50Z,2b31a126-cfee-4bb7-898c-3e153b18a3c8,Authentication Methods,UserManagement,User started security info registration,Success,User started the registration for App Password,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,137.27.96.204,,,,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransactionId,3f98b16d-8e63-4302-8a57-c374963b9c8e,AuthenticationMethodType,AppPassword,AuthenticationMethod,App Password,,,,,,,{84},{85}
2025-09-29T20:29:28Z,e54f66d0-bed2-469a-84df-16b7tyler195022c,Authentication Methods,UserManagement,User registered security info,Success,User registered Authenticator App with Notification,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,137.27.96.204,,,,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransactionId,3dde4617-3b91-4c4b-87b0-dcfaef6cda1a,AuthenticationMethodType,AppNotificationOnly,AuthenticationMethod,Authenticator App with Kelly58,,,,,,,{84},{85}
2025-09-29T20:29:27.5733568Z,46755e38-7c2e-43ba-89e1-18f80de6cde5,Authentication Methods,PolicyManagement,POST UserAuthMethod.SecurityInfoRegistrationCallback,Success,NoContent,,User,Betty20 Deborah51,,betty20@contoso.com,104.210.141.57,,,,,,,,,,,,,,,,,,,,,,,,Policy,Jacob35 Authentication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{85}
2025-09-29T20:29:27.4714135Z,2097bbf9-93c4-4657-856e-a513bc516324,Core Directory,UserManagement,Update user,Success,,,Application,Patel14 Gray19 King17 Taylor29 Service,,,,,,613ec37b-cbb0-4b92-845d-1bb588276afe,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,Included Updated Properties,,"""""",TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,,,,,,,,,,,{84},{85}
2025-09-29T20:29:05Z,1f91ab90-f0a5-47ef-8470-9def6e60787d,Authentication Methods,UserManagement,User started security info registration,Success,User started the registration for Authenticator App with Notification,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,137.27.96.204,,,,,User,Betty20 Deborah51,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransactionId,3dde4617-3b91-4c4b-87b0-dcfaef6cda1a,AuthenticationMethodType,AppNotificationOnly,AuthenticationMethod,Authenticator App with Kelly58,,,,,,,{84},{85}
2025-09-29T20:28:40.2633354Z,84f5566d-a838-4389-821f-aa718472a77b,Core Directory,UserManagement,Update user,Success,,,Application,Patel14 Jack21 Hernandez35,,,,,,253a7169-17dd-477a-82c9-d0bdd51b8f46,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,StrongAuthenticationPhoneAppDetail,[],"[{""DeviceName"":""iPhone 14"",""DeviceToken"":""apns2-3ae0636063cf2bb7bc035f327d7f6882297d008aee6d53f2797b62ec78d82d86"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""6.8.30"",""OathTokenTimeDrift"":0,""DeviceId"":""f28ea500-6276-48ce-8fb2-edd8a60671ea"",""Id"":""946b409e-62c1-4668-8a50-4dea91c108da"",""TimeInterval"":0,""AuthenticationType"":3,""NotificationType"":2,""LastAuthenticatedTimestamp"":""2025-09-29T20:28:39.7954608Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":null,""TenantDeviceId"":null,""SecuredPartitionId"":20088,""SecuredKeyId"":7}]",Included Updated Properties,,"""StrongAuthenticationPhoneAppDetail""",TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,,,,,,,,,,,{84},{85}
2025-09-29T20:28:40.1633277Z,914b3ba1-ae05-4460-85fe-c17302a35074,Core Directory,UserManagement,Update user,Success,,,Application,Patel14 Jack21 Hernandez35,,,,,,253a7169-17dd-477a-82c9-d0bdd51b8f46,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,StrongAuthenticationMethod,[],"[{""MethodType"":6,""Default"":true},{""MethodType"":7,""Default"":false}]",Included Updated Properties,,"""StrongAuthenticationMethod""",TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,,,,,,,,,,,{84},{85}
2025-09-29T20:26:52.8758106Z,c7b6bd2c-5cbe-4bb2-80de-35fc1ad18238,Core Directory,UserManagement,Update user,Success,,,User,Ruth29 Davis27 365 Barbara23,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,2603:1036:2405:cddc:5317:3da1:5901:c7,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,StsRefreshTokensValidFrom,"[""2025-09-29T20:01:46Z""]","[""2025-09-29T20:26:52Z""]",Included Updated Properties,,"""StsRefreshTokensValidFrom""",TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,User-Bailey15,O365AdminPortal,,,,,,,,,{84},{85}
2025-09-29T20:26:52.8748097Z,c7b6bd2c-5cbe-4bb2-80de-35fc1ad18238,Core Directory,UserManagement,Update StsRefreshTokenValidFrom Timestamp,Success,,,User,Ruth29 Davis27 365 Barbara23,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,2603:1036:2405:cddc:5317:3da1:5901:c7,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,StsRefreshTokensValidFrom,"[""2025-09-29T20:01:46Z""]","[""2025-09-29T20:26:52Z""]",Included Updated Properties,,"""StsRefreshTokensValidFrom""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,O365AdminPortal,,,,,,,,,,,{84},{85}
2025-09-29T20:26:52.5593582Z,246f2962-889c-4cd1-8f08-eea0d01fd50a,Core Directory,UserManagement,Update user,Success,,,User,Ruth29 Davis27 365 Barbara23,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,2603:1036:2405:cddc:5317:3da1:5901:c7,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,AccountEnabled,[false],[true],Included Updated Properties,,"""AccountEnabled""",TargetId.UserType,,"""Member""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UserType,Member,User-Bailey15,O365AdminPortal,,,,,,,,,{84},{85}
2025-09-29T20:26:52.5583539Z,246f2962-889c-4cd1-8f08-eea0d01fd50a,Core Directory,UserManagement,Enable account,Success,,,User,Ruth29 Davis27 365 Barbara23,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,2603:1036:2405:cddc:5317:3da1:5901:c7,,,,,User,,52b9c00a-3d50-4d6f-8452-6d833f86f23b,betty20@contoso.com,AccountEnabled,[false],[true],Included Updated Properties,,"""AccountEnabled""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,O365AdminPortal,,,,,,,,,,,{84},{85}
2025-09-29T20:07:39.7326817Z,bc0c535e-b54e-488f-8085-e180cc4fdf61,Core Directory,ApplicationManagement,Consent to application,Success,,,User,Patel14 Janet19 Service,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,52.171.195.33,,,,,ServicePrincipal,Ruth29 Bailey32 Jessica20 Melissa29 Young48,5e5c9350-b7ad-48c2-842b-d813973f08b3,,ConsentContext.IsAdminConsent,,"""True""",ConsentContext.IsAppOnly,,"""False""",ConsentContext.OnBehalfOfAll,,"""False""",ConsentContext.Tags,,"""WindowsAzureActiveDirectoryIntegratedApp""",ConsentAction.Permissions,,"""[] => [[Id: AAAAAAAAAAAAAAAAAAAAAHfmpqZD5etJkoG-qcj9cOXKg-5wg029S6m7NaqBRnAZ, ClientId: f28ea500-6276-48ce-8fb2-edd8a60671ea, PrincipalId: b0ec99af-8455-4f4f-8de5-e269274e2e23, ResourceId: c6f113cf-3e02-45c0-8c9b-50ed2a7a906a, ConsentType: Principal, Scope:  UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All Kelly50mber.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All Mail.Edward48 Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All openid edwards37 thompson25_access, CreatedDateTime: , LastModifiedDateTime ]]; """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,EvoSTS,AppId,351be83c-4d09-4eda-83f0-9ed6f80f191c,AppOwnerOrganizationId,cdc5aeea-15c5-4db6-b079-fcadd2505dc2,,,,,,,{84},{85}
2025-09-29T20:07:39.7316809Z,bc0c535e-b54e-488f-8085-e180cc4fdf61,Core Directory,UserManagement,Add app role assignment grant to user,Success,,,User,Patel14 Janet19 Service,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,52.171.195.33,,,,,ServicePrincipal,Ruth29 Bailey32 Jessica20 Melissa29 Young48,5e5c9350-b7ad-48c2-842b-d813973f08b3,,AppRole.Id,,"""f28ea500-6276-48ce-8fb2-edd8a60671ea""",AppRole.Value,,"""""",AppRole.DisplayName,,"""""",AppRoleAssignment.CreatedDateTime,,"""2025-09-29T20:07:39.586684Z""",AppRoleAssignment.LastModifiedDateTime,,"""2025-09-29T20:07:39.586684Z""",User,,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,EvoSTS,AppId,351be83c-4d09-4eda-83f0-9ed6f80f191c,,,,,,,,,{85}
2025-09-29T20:07:39.5536812Z,bc0c535e-b54e-488f-8085-e180cc4fdf61,Core Directory,ApplicationManagement,Add delegated permission grant,Success,,,User,Patel14 Janet19 Service,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,52.171.195.33,,,,,ServicePrincipal,Ruth29 Bailey32,c6f113cf-3e02-45c0-8c9b-50ed2a7a906a,,DelegatedPermissionGrant.Scope,,""" UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All Kelly50mber.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All Mail.Edward48 Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All openid edwards37 thompson25_access""",DelegatedPermissionGrant.ConsentType,,"""Principal""",ServicePrincipal.ObjectID,,"""5e5c9350-b7ad-48c2-842b-d813973f08b3""",ServicePrincipal.DisplayName,,,ServicePrincipal.AppId,,,ServicePrincipal,,5e5c9350-b7ad-48c2-842b-d813973f08b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,EvoSTS,AppId,00000003-0000-0000-c000-000000000000,,,,,,,,,{85}
2025-09-29T20:07:39.4346834Z,bc0c535e-b54e-488f-8085-e180cc4fdf61,Core Directory,ApplicationManagement,Add service principal,Success,,,User,Patel14 Janet19 Service,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,52.171.195.33,,,,,ServicePrincipal,Ruth29 Bailey32 Jessica20 Melissa29 Young48,5e5c9350-b7ad-48c2-842b-d813973f08b3,,AccountEnabled,[],[true],AppAddress,[],"[{""AddressType"":0,""Address"":""https://login.microsoftonline.com/common/oauth2/nativeclient"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""http://localhost"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""ms-appx-alvarez49://microsoft.aad.brokerplugin/351be83c-4d09-4eda-83f0-9ed6f80f191c"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false}]",AppPrincipalId,[],"[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]",DisplayName,[],"[""Ruth29 Bailey32 Jessica20 Melissa29 Young48""]",ServicePrincipalName,[],"[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,EvoSTS,AppId,351be83c-4d09-4eda-83f0-9ed6f80f191c,AppOwnerOrganizationId,cdc5aeea-15c5-4db6-b079-fcadd2505dc2,,,,,,,{84},{85}
2025-09-29T20:07:34.8542048Z,54b3de33-61e1-47c9-8a1a-51231c805628,Core Directory,ApplicationManagement,Consent to application,Failure,Microsoft.Online.Workflows.SpnValidationException,,User,,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,52.171.195.33,,,,,,Unknown,,,ConsentContext.IsAdminConsent,,"""True""",ConsentContext.IsAppOnly,,"""False""",ConsentContext.OnBehalfOfAll,,"""False""",ConsentContext.Tags,,"""WindowsAzureActiveDirectoryIntegratedApp""",ConsentAction.Permissions,,"""[] => [[Id: AAAAAAAAAAAAAAAAAAAAAHfmpqZD5etJkoG-qcj9cOXKg-5wg029S6m7NaqBRnAZ, ClientId: f28ea500-6276-48ce-8fb2-edd8a60671ea, PrincipalId: b0ec99af-8455-4f4f-8de5-e269274e2e23, ResourceId: c6f113cf-3e02-45c0-8c9b-50ed2a7a906a, ConsentType: Principal, Scope:  UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All Kelly50mber.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All Mail.Edward48 Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All openid edwards37 thompson25_access, CreatedDateTime: , LastModifiedDateTime ]]; """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,EvoSTS,,,,,,,,,,,{84},{85}
2025-09-29T20:07:34.8522035Z,54b3de33-61e1-47c9-8a1a-51231c805628,Core Directory,ApplicationManagement,Add service principal,Failure,Microsoft.Online.Workflows.SpnValidationException,,User,,b0ec99af-8455-4f4f-8de5-e269274e2e23,sandoval42@contoso.com,52.171.195.33,,,,,ServicePrincipal,Ruth29 Bailey32 Jessica20 Melissa29 Young48,84e51c4a-b9d0-4ca3-80db-a4733e328fff,,AccountEnabled,[],[true],AppAddress,[],"[{""AddressType"":0,""Address"":""https://login.microsoftonline.com/common/oauth2/nativeclient"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""http://localhost"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""ms-appx-alvarez49://microsoft.aad.brokerplugin/351be83c-4d09-4eda-83f0-9ed6f80f191c"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false}]",AppPrincipalId,[],"[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]",DisplayName,[],"[""Ruth29 Bailey32 Jessica20 Melissa29 Young48""]",ServicePrincipalName,[],"[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User-Bailey15,EvoSTS,AppId,351be83c-4d09-4eda-83f0-9ed6f80f191c,AppOwnerOrganizationId,cdc5aeea-15c5-4db6-b079-fcadd2505dc2,,,,,,,{84},{85}
