Description,Enabled,Patel26,InError,ErrorType,Name,Priority,RuleIdentity,SupportedByTask,Legacy,BodyContainsWords,ExceptIfBodyContainsWords,FlaggedForAction,ExceptIfFlaggedForAction,FromAddressContainsWords,ExceptIfFromAddressContainsWords,From,ExceptIfFrom,HasAttachment,ExceptIfHasAttachment,HasClassification,ExceptIfHasClassification,HeaderContainsWords,ExceptIfHeaderContainsWords,MessageTypeMatches,ExceptIfMessageTypeMatches,MyNameInCcBox,ExceptIfMyNameInCcBox,MyNameInToBox,ExceptIfMyNameInToBox,MyNameInToOrCcBox,ExceptIfMyNameInToOrCcBox,MyNameNotInToBox,ExceptIfMyNameNotInToBox,ReceivedAfterDate,ExceptIfReceivedAfterDate,ReceivedBeforeDate,ExceptIfReceivedBeforeDate,RecipientAddressContainsWords,ExceptIfRecipientAddressContainsWords,SentOnlyToMe,ExceptIfSentOnlyToMe,SentTo,ExceptIfSentTo,SubjectContainsWords,ExceptIfSubjectContainsWords,SubjectOrBodyContainsWords,ExceptIfSubjectOrBodyContainsWords,WithImportance,ExceptIfWithImportance,WithinSizeRangeMaximum,ExceptIfWithinSizeRangeMaximum,WithinSizeRangeMinimum,ExceptIfWithinSizeRangeMinimum,WithSensitivity,ExceptIfWithSensitivity,ApplyCategory,ApplySystemCategory,CopyToFolder,DeleteMessage,DeleteSystemCategory,ForwardAsAttachmentTo,ForwardTo,MarkAsRead,MarkImportance,MoveToFolder,PinMessage,RedirectTo,SendTextMessageNotificationTo,SoftDeleteMessage,StopProcessingRules,DisplayAlert,PlaySound,MailboxOwnerId,IsValid,ObjectState
"If the message:
	the message was received from 'eric25-phillips34@cruz295.example'
Take the following actions:
	move the message to folder 'Inbox'
	and stop processing more rules on this message
",TRUE,benjamin13\4573858063919874049,FALSE,None,Move all messages from Chase to Inbox,1,4.57E+18,TRUE,,,,,,,,"""eric25-phillips34@cruz295.example"" [SMTP:eric25-phillips34@cruz295.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Inbox,FALSE,,,FALSE,TRUE,,,benjamin13,TRUE,Unchanged
"If the message:
	the message was received from 'gary25@freemail1.example'
Take the following actions:
	move the message to folder 'Inbox'
	and stop processing more rules on this message
",TRUE,Heather13\6322272875763990530,FALSE,None,gary25@freemail1.example,1,6.32E+18,TRUE,,,,,,,,"""gary25@freemail1.example"" [SMTP:gary25@freemail1.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Inbox,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'Janet20 Butcher'
Take the following actions:
	move the message to folder 'Inbox'
	and stop processing more rules on this message
",TRUE,Heather13\6394330469801918466,FALSE,None,Janet20 Butcher (2),2,6.39E+18,TRUE,,,,,,,,"""Janet20 Butcher"" [SMTP:morgan24@cruz296.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Inbox,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'Janet20 Butcher'
Take the following actions:
	move the message to folder 'Inbox'
	and stop processing more rules on this message
",TRUE,Heather13\6466388063839846402,FALSE,None,Janet20 Butcher (1),3,6.47E+18,TRUE,,,,,,,,"""Janet20 Butcher"" [SMTP:morgan24@cruz296.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Inbox,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'Janet20 Butcher'
Take the following actions:
	move the message to folder 'Inbox'
	and stop processing more rules on this message
",TRUE,Heather13\6538445657877774338,FALSE,None,Janet20 Butcher,4,6.54E+18,TRUE,,,,,,,,"""Janet20 Butcher"" [SMTP:morgan24@cruz296.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Inbox,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'Betty12 Production'
Take the following actions:
	move the message to folder 'Production'
	and stop processing more rules on this message
",TRUE,Heather13\6610503251915702274,FALSE,None,Betty12 Production (1),5,6.61E+18,TRUE,,,,,,,,"""Betty12 Production"" [SMTP:campbell60@cruz294.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Production,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'Betty12 Production'
Take the following actions:
	move the message to folder 'Production'
	and stop processing more rules on this message
",TRUE,Heather13\6682560845953630210,FALSE,None,Betty12 Production,6,6.68E+18,TRUE,,,,,,,,"""Betty12 Production"" [SMTP:campbell60@cruz294.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Production,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'MidCountry Bank'
Take the following actions:
	move the message to folder 'MidCountry Morgan50'
	and stop processing more rules on this message
",TRUE,Heather13\6754618439991558146,FALSE,None,MidCountry Bank,7,6.75E+18,TRUE,,,,,,,,"""MidCountry Bank"" [SMTP:sanchez27@cruz297.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,MidCountry Morgan50,FALSE,,,FALSE,TRUE,,,Heather13,TRUE,Unchanged
"If the message:
	the message was received from 'Betty12 Accounting'
Take the following actions:
	mark the message as Read
	and move the message to folder 'Completed (Sent)'
	and stop processing more rules on this message
",TRUE,Phillips14\3831351187337117697,FALSE,None,Accounting Sent Items,6,3.83E+18,TRUE,,,,,,,,"""Betty12 Accounting"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=be1d8b09d50e436da6930a57f7a34220-AnconaAccou]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,TRUE,,Completed (Sent),FALSE,,,FALSE,TRUE,,,Phillips14,TRUE,Unchanged
"If the message:
	the message was received from 'Ramirez28 Lewis' or 'Ramirez28 Edward40 Diaz35' or 'Ramos24 Foss' or 'Christine13 Ortiz24' or 'Bennett18 Gordon' or 'Betty20 Helms' or 'Bob Bodine' or 'Walker21 Donna18-Gary22'
Take the following actions:
	move the message to folder '[folder not found]'
	and stop processing more rules on this message
",FALSE,Phillips14\4110116958790221825,TRUE,PropertiesInError,Teresa,7,4.11E+18,TRUE,,,,,,,,"""Ramirez28 Lewis"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=76959b19b77d4685a36f82343cc3eaf1-Ramirez28] ""Ramirez28 Edward40 Diaz35"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=6f80605f6f6b40dd88b34f38efff7d21-Gutierrez15] ""Ramos24 Foss"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=9a99f186bb024e1cbf9aa2a9bce6ee8c-mfoss] ""Christine13 Ortiz24"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=2c50a7c563894f87a57c718b66d84a29-Christine13] ""Bennett18 Gordon"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=1216ba39da564f0abd3f2c65abe9635a-bennett18] ""Betty20 Helms"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=a8aa7d24960e4f669edd73b60b0f42d7-Betty20] ""Bob Bodine"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=d6b9a74acc9c4c978a7373c40f956993-young14] ""Walker21 Donna18-Gary22"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=fb328b2498e647f2892bc483fbe64b8e-walker21]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,TRUE,,,Phillips14,TRUE,Unchanged
"If the message:
	the message was received from 'Janelle Larson' or 'Tyler25 Bennett12' or 'Noah Larson' or 'Pat Mohs' or 'Urvanie Persaud' or 'Green22 Evelyn15' or 'Vicki Moe' or 'Shelly Confair' or 'Zach Hardin' or 'Tyler25 Richard37' or 'Linda Spryshak' or 'Patricia12 Paul37'or...
Take the following actions:
	move the message to folder '[folder not found]'
	and stop processing more rules on this message
",FALSE,Phillips14\4182174552828149761,TRUE,PropertiesInError,Green22,8,4.18E+18,TRUE,,,,,,,,"""Janelle Larson"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=eb0455f8ec4b4f259b97fc14daada63b-janelle] ""Tyler25 Bennett12"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=576509372f814c528949df2ac90151b0-rBuendiger] ""Noah Larson"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=28ed6a03c3b344629998771e47089c2d-Noah] ""Pat Mohs"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=6980617850944539bb0400b052502192-Pat] ""Urvanie Persaud"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c6400d0ec3874b03b99b7ca10b399576-urvanie] ""Green22 Evelyn15"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=860c9244ec69435e8c9447beaa18d997-Patel13] ""Vicki Moe"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=856ae26cd4f545d1af9a3e4c6dffec2f-Vickie] ""Shelly Confair"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=7a72432de572411c8e73c38a395ebbba-shelly] ""Zach Hardin"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=9b528b2657ee4d7e9598d8315d883b03-zhardin] ""Tyler25 Richard37"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=d912965e58c24b0fb33a90871a12e338-Tyler25] ""Linda Spryshak"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=08df6889d1e94e298175bbacdee1f719-Linda] ""Patricia12 Paul37"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=4391a39bc52346e5bb68d1874947b06c-Patricia12] ""James105 Patrick46"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=3a3bcd4a04f74b5592c0064fa64ef28c-James105] ""Grace Shaw"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=306e22b4651142e89bc95a4e8176f625-Grace] ""Bobbi Ronald34"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=ac9c3d2c953c4b9aa547a2d9421c55f8-Bobbi] ""Ruiz18 Benson"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=6254f5955292437181dbb37fe9aaaa20-ruiz18] ""Cooper27 Dombrovski"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=1876d27d68bb45b6b25e5c627b8a3bc9-Joyce39] ""Tyler25 R. Petermeier"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=6fcb01ce84c8401f99183a59c098d3aa-robinp]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,TRUE,,,Phillips14,TRUE,Unchanged
"If the message:
	the message was received from 'Scott59 Kelly52' or 'Johnson24 Holleran' or 'Kristin Thrush' or 'Tim Thrush' or 'Zachary Jensen' or 'Kari Ronsberg' or 'Patrick15 Ronald34' or 'Patrick15 Lee' or 'Jonathan24 Katherine13' or 'Taylor Schaber' or 'Sabrina Richards'or...
Take the following actions:
	move the message to folder '[folder not found]'
	and stop processing more rules on this message
",FALSE,Phillips14\4254232146866077697,TRUE,PropertiesInError,Ramos24,9,4.25E+18,TRUE,,,,,,,,"""Scott59 Kelly52"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=fb7e53ccedfb45aebec4d3d164f2b77c-Scott59] ""Johnson24 Holleran"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=055a2b82c32f40b3ad3cde027d7c62fc-Johnson24] ""Kristin Thrush"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=e2781e2c50b14f3d87fa707d31cbeef4-kthrush] ""Tim Thrush"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=23c76b11123843c19a34929ed8784cc1-tthrush] ""Zachary Jensen"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=16d91bad66a94f07b156727cec6532fe-zjensen] ""Kari Ronsberg"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=9fa76a32b6f44e658610a4cefed86d51-Kari] ""Patrick15 Ronald34"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=0d453556e0b2487589a7458fcca6b576-patrick15] ""Patrick15 Lee"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=d32ec87c265b409395411f1b780be105-Brenda19] ""Jonathan24 Katherine13"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=f0639eda83bb4a368102663cb87772b5-Jonathan24_a9d16f] ""Taylor Schaber"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=b6d5d07c3ce648a680576ecb5db734cf-kim] ""Sabrina Richards"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=d1f9819b1ee84f65829435596f1e2180-sabrina] ""Diaz30 Erickson"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=9f34377d06334fc29e7d1620430cb70b-diaz30] ""Ramos24 Nelson15"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=e28b43017ebb446d974c621c8c4fa994-taylor32]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,TRUE,,,Phillips14,TRUE,Unchanged
"If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	mark the message as Read
	and move the message to folder 'Outgoing Morgan502'
	and stop processing more rules on this message
",TRUE,Phillips14\4326289740904005633,FALSE,None,Outgoing Morgan50,10,4.33E+18,TRUE,,,,,,,,"""sanchez27@cruz297.example"" [SMTP:sanchez27@cruz297.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Outgoing Wire Kelly58,,,,,,,,,,,,,,,FALSE,,,,TRUE,,Outgoing Morgan502,FALSE,,,FALSE,TRUE,,,Phillips14,TRUE,Unchanged
"If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message includes specific words in the subject 'Melissa27 Wire Kelly58'
Take the following actions:
	move the message to folder 'Melissa27 Morgan502'
",TRUE,Phillips14\4398347334941933569,FALSE,None,Melissa27 Wire,11,4.40E+18,TRUE,,,,,,,,"""sanchez27@cruz297.example"" [SMTP:sanchez27@cruz297.example]",,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,,,Melissa27 Wire Kelly58,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Melissa27 Morgan502,FALSE,,,FALSE,FALSE,,,Phillips14,TRUE,Unchanged
"If the message:
	the message was sent to 'Betty12 Morgan50'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
",TRUE,dennis25\7115795524246044673,FALSE,None,For all messages sent to Betty12 Morgan50,1,7.12E+18,TRUE,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,"""Betty12 Morgan50"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=452031fbb014409b81009320adaa2c3d-Betty12 Wire]",,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,FALSE,,,FALSE,TRUE,,,dennis25,TRUE,Unchanged
"If the message:
	the message was sent to 'Johnson24 Holleran'
Take the following actions:
	move the message to folder 'Johnson24 Forwards'
	and stop processing more rules on this message
",TRUE,dennis25\7187853118283972609,FALSE,None,Johnson24 Forwards,2,7.19E+18,TRUE,,,,,,,,,,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,"""Johnson24 Holleran"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=055a2b82c32f40b3ad3cde027d7c62fc-Johnson24]",,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,Johnson24 Forwards,FALSE,,,FALSE,TRUE,,,dennis25,TRUE,Unchanged
