SuspectTrait,DisplayName,PrimarySmtpAddress,MailboxGuid,RuleName,RulePriority,RuleIdentity,RuleDescription,RuleEnabled,RuleForwardTo,RuleForwardAttTo,ExternalRecipients,RuleMoveTo,RuleDelete,RuleSoftDelete,RuleBodyContains,RuleSubjectContains,RuleSubjectOrBodyContains,RuleFrom,RuleFromContains
MessageForwarding,Powell18 Betty12,powell18@contoso.com,4d99fc0c-c700-44ca-87be-c49545f12927,Powell18 Declined,1,1.07153E+19,"If the message:
	the message was sent to 'Powell18 Betty12'
	and the message includes specific words in the subject or body 'Declined'
Take the following actions:
	forward the message to 'Jonathan24 Katherine13'
	and stop processing more rules on this message
",TRUE,"""Jonathan24 Katherine13"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=f0639eda83bb4a368102663cb87772b5-Jonathan24_a9d16f]",,,,FALSE,FALSE,,,Declined,,
MessageForwarding,Powell18 Betty12,powell18@contoso.com,4d99fc0c-c700-44ca-87be-c49545f12927,Email Forwarding - Support,2,1.07873E+19,"Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,,
MessageForwarding,Powell18 Betty12,powell18@contoso.com,4d99fc0c-c700-44ca-87be-c49545f12927,Fax forwarding,3,1.08594E+19,"If the message:
	the message was received from 'nelson24@cruz298.example'
	and the message was sent to 'Powell18 Betty12'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""nelson24@cruz298.example"" [SMTP:nelson24@cruz298.example]",
MessageForwarding,Powell18 Betty12,powell18@contoso.com,4d99fc0c-c700-44ca-87be-c49545f12927,Successful / Unsuccessful,4,1.09314E+19,"If the message:
	the message was received from 'edward48@cruz2926.example'
	and the message was sent to 'Powell18 Betty12'
	and the message includes specific words in the subject 'UnSuccessful' or 'Successful'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,UnSuccessful Successful,,"""edward48@cruz2926.example"" [SMTP:edward48@cruz2926.example]",
RuleName,Christine13 Ortiz24,christine13@contoso.com,749c71b0-5545-4a73-843b-e8af43d0dcd9,AA,23,9.27727E+17,"If the message:
	the message was received from 'AA'
Take the following actions:
	move the message to folder 'Frank45/Edward68/Promos'
	and stop processing more rules on this message
",TRUE,,,,Frank45/Edward68/Promos,FALSE,FALSE,,,,"""AA"" [SMTP:mitchell23@cruz2948.example]",
MessageDeletion,Christine13 Ortiz24,christine13@contoso.com,749c71b0-5545-4a73-843b-e8af43d0dcd9,Internet,129,8.56583E+18,"If the message:
	the message was received from 'Internet'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,,"""Internet"" [SMTP:support@cruz2992.example]",
MessageDeletion,Green22 Evelyn15,patel13@contoso.com,8334c39b-0594-4415-8814-7c090cbe8849,Delete messages from Bank,3,1.0778E+19,"If the message:
	the message was received from 'sanchez27@cruz297.example'
	and the message was sent to 'Betty12 Morgan50'
	and the message includes specific words in the subject 'Outgoing Wire Kelly58'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,Outgoing Wire Kelly58,,"""sanchez27@cruz297.example"" [SMTP:sanchez27@cruz297.example]",
MessageMoveFolder,Patricia12 Paul37,patricia12@contoso.com,eb411ad0-18c0-44a3-8834-8abeec203aba,Floral & Gifts,10,2.97457E+18,"If the message:
	the message was received from 'Floral & Gifts'
Take the following actions:
	move the message to folder 'Junk Email'
	and stop processing more rules on this message
",TRUE,,,,Junk Email,FALSE,FALSE,,,,"""Floral & Gifts"" [SMTP:info@cruz2997.example]",
MessageForwarding,Jose17 Cruz28 Betty12,justin19@contoso.com,77a6c17b-29c2-4e47-8e84-85bdd314787a,Declined,1,1.18775E+19,"If the message:
	the message was sent to 'Jose17 Cruz28 Betty12'
	and the message includes specific words in the subject or body 'Declined'
Take the following actions:
	forward the message to 'Patricia12 Paul37'
	and stop processing more rules on this message
",TRUE,"""Patricia12 Paul37"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=4391a39bc52346e5bb68d1874947b06c-Patricia12]",,,,FALSE,FALSE,,,Declined,,
MessageForwarding,Jose17 Cruz28 Betty12,justin19@contoso.com,77a6c17b-29c2-4e47-8e84-85bdd314787a,Email Forwarding,2,1.19496E+19,"Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
Except if the message:
	the message is Stephanie19 Request.
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,,
MessageForwarding,Jose17 Cruz28 Betty12,justin19@contoso.com,77a6c17b-29c2-4e47-8e84-85bdd314787a,Fax Success / Failure,3,1.20216E+19,"If the message:
	the message was received from 'edward48@cruz2926.example'
	and the message was sent to 'Jose17 Cruz28 Betty12'
	and the message includes specific words in the subject 'unsuccessful' or 'Successful'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,unsuccessful Successful,,"""edward48@cruz2926.example"" [SMTP:edward48@cruz2926.example]",
MessageForwarding,Jose17 Cruz28 Betty12,justin19@contoso.com,77a6c17b-29c2-4e47-8e84-85bdd314787a,Faxes,4,1.20937E+19,"If the message:
	the message was received from 'nelson24@cruz298.example'
	and the message was sent to 'Jose17 Cruz28 Betty12'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""nelson24@cruz298.example"" [SMTP:nelson24@cruz298.example]",
MessageForwarding,Janet18 Katherine13,betty14@contoso.com,fe0da70d-10d8-42f8-817e-eef2f50d4fc4,Forward messages from External Vendor 5 - System Message,3,1.11793E+19,"If the message:
	the message was received from 'support@cruz293.example'
	and the message was sent to 'Janet18 Katherine13'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""support@cruz293.example"" [SMTP:support@cruz293.example]",
MessageForwarding,Castillo21 Reyes26,rebecca23@contoso.com,27d16d82-858b-4318-84d1-c742b49f295c,Daniel29 O'Connor,3,1.16148E+19,"Take the following actions:
	forward the message to 'Daniel29 O'Connor'
",FALSE,"""Daniel29 O'Connor"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=81f4103b635140f5ab225ff3b74359e8-Daniel29]",,,,FALSE,FALSE,,,,,
MessageForwarding,Price16 Perez28 Betty12,bennett14@contoso.com,410ba85d-3570-49d5-8d9c-61a1ed5b1d0f,Declined,1,9.74209E+18,"If the message:
	the message includes specific words in the subject or body 'Declined'
Take the following actions:
	forward the message to 'Patricia12 Paul37' and 'Jonathan24 Katherine13'
	and stop processing more rules on this message
",TRUE,"""Patricia12 Paul37"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=4391a39bc52346e5bb68d1874947b06c-Patricia12] ""Jonathan24 Katherine13"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=f0639eda83bb4a368102663cb87772b5-Jonathan24_a9d16f]",,,,FALSE,FALSE,,,Declined,,
MessageForwarding,Patrick22 watson54 Evelyn30,evelyn30@contoso.com,75b0c731-48f6-47a4-884a-881a82ad35b4,Full Mailbox Rule,1,7.06225E+18,"If the message:
	the message includes specific words in the subject 'Your mailbox is almost full'
Take the following actions:
	forward the message to 'Jonathan24 Katherine13'
	and stop processing more rules on this message
",TRUE,"""Jonathan24 Katherine13"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=f0639eda83bb4a368102663cb87772b5-Jonathan24_a9d16f]",,,,FALSE,FALSE,,Your mailbox is almost full,,,
MessageDeletion,Patrick22 watson54 Evelyn30,evelyn30@contoso.com,75b0c731-48f6-47a4-884a-881a82ad35b4,Delete messages from Patrick22 watson54 Evelyn30,2,7.13431E+18,"If the message:
	the message was received from 'Patrick22 watson54 Evelyn30'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,,"""Patrick22 watson54 Evelyn30"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=bf59656c4d474947bb4f12625925f976-evelyn30]",
MessageMoveFolder,Linda18 Cox20,linda18@contoso.com,eac74b96-0dbb-42e2-86b8-eb276ad06dd1,The Loan Allen35,1,6.92415E+18,"If the message:
	the message includes specific words in the subject or body 'payoff'
Take the following actions:
	mark the message as Read
	and move the message to folder 'Morales23 History'
	and stop processing more rules on this message
",FALSE,,,,Morales23 History,FALSE,FALSE,,,payoff,,
MessageForwarding,Donald25 Betty12,donald25@contoso.com,6ad2be52-163d-45ef-8d45-420b9f51dfb4,Declined,1,1.37309E+19,"If the message:
	the message was sent to 'Donald25 Betty12'
	and the message includes specific words in the subject or body 'declined'
Take the following actions:
	forward the message to 'Jonathan24 Katherine13' and 'Patricia12 Paul37' and 'Betty12 Support'
	and stop processing more rules on this message
",TRUE,"""Jonathan24 Katherine13"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=f0639eda83bb4a368102663cb87772b5-Jonathan24_a9d16f] ""Patricia12 Paul37"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=4391a39bc52346e5bb68d1874947b06c-Patricia12] ""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,declined,,
MessageForwarding,Donald25 Betty12,donald25@contoso.com,6ad2be52-163d-45ef-8d45-420b9f51dfb4,Email Forwarding,2,1.3803E+19,"Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,,
MessageForwarding,Donald25 Betty12,donald25@contoso.com,6ad2be52-163d-45ef-8d45-420b9f51dfb4,Faxes,3,1.38751E+19,"If the message:
	the message was received from 'nelson24@cruz298.example'
	and the message was sent to 'Donald25 Betty12'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""nelson24@cruz298.example"" [SMTP:nelson24@cruz298.example]",
MessageForwarding,Donald25 Betty12,donald25@contoso.com,6ad2be52-163d-45ef-8d45-420b9f51dfb4,Forward Successful/Unsuccessful,4,1.39471E+19,"If the message:
	the message was received from 'edward48@cruz2926.example'
	and the message includes specific words in the subject or body 'successful' or 'unsuccessful'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,successful unsuccessful,"""edward48@cruz2926.example"" [SMTP:edward48@cruz2926.example]",
MessageDeletion,Melissa28 Nathan38,sanchez31@contoso.com,cce78f53-77d2-4a57-8ea7-0dbd2b8b0419,Garcia38- ATLS Laura30 removal,8,8.4684E+18,"If the message:
	the body of the message contains the words 'Refinance' or 'Sandoval19' or 'Jones35 Type: Thompson27' or 'Jones35 Type: Dennis25'
	and the message was received from 'brooks37@cruz2921.example'
Take the following actions:
	delete the message
	and mark the message as Read
	and stop processing more rules on this message
Except if the message:
	the message includes specific words in the subject or body 'sandoval19@cruz29106.example'
",TRUE,,,,,TRUE,FALSE,Refinance Sandoval19 Jones35 Type: Thompson27 Jones35 Type: Dennis25,,,"""brooks37@cruz2921.example"" [SMTP:brooks37@cruz2921.example]",
MessageForwarding,Donna18 Betty12,donna18@contoso.com,d6122b4a-0800-40b1-87ac-94c146f48c6a,Forward messages from edward48@cruz2926.example,1,8.90875E+18,"If the message:
	the message was received from 'edward48@cruz2926.example'
	and the message was sent to 'Donna18 Betty12'
	and the message includes specific words in the subject 'unsuccessful' or 'Successful' or 'Successful transmission to 18002276736. Re: Payoff Request'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",TRUE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,unsuccessful Successful Successful transmission to 18002276736. Re: Payoff Request,,"""edward48@cruz2926.example"" [SMTP:edward48@cruz2926.example]",
MessageForwarding,Donna18 Betty12,donna18@contoso.com,d6122b4a-0800-40b1-87ac-94c146f48c6a,Forward messages from eFax Corporate,2,8.98081E+18,"If the message:
	the message was received from 'nelson24@cruz298.example'
	and the message was sent to 'Donna18 Betty12'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""nelson24@cruz298.example"" [SMTP:nelson24@cruz298.example]",
MessageForwarding,Donna18 Betty12,donna18@contoso.com,d6122b4a-0800-40b1-87ac-94c146f48c6a,Fax Forwarding,3,9.05287E+18,"If the message:
	the message was received from 'nelson24@cruz298.example'
	and the message was sent to 'Donna18 Betty12'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""nelson24@cruz298.example"" [SMTP:nelson24@cruz298.example]",
MessageForwarding,Donna18 Betty12,donna18@contoso.com,d6122b4a-0800-40b1-87ac-94c146f48c6a,Successful or unsuccessful fax,4,9.12493E+18,"If the message:
	the message was received from 'edward48@cruz2926.example'
	and the message was sent to 'Donna18 Betty12'
	and the message includes specific words in the subject 'unsuccessful' or 'Successful'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,unsuccessful Successful,,"""edward48@cruz2926.example"" [SMTP:edward48@cruz2926.example]",
RuleName,Betty20 Deborah51,betty20@contoso.com,abc48516-ff07-4546-89cd-650657222bab,...,2,2.29813E+18,"Take the following actions:
	mark the message as Read
	and move the message to folder 'RSS Feeds'
	and stop processing more rules on this message
",FALSE,,,,RSS Feeds,FALSE,FALSE,,,,,
MessageMoveFolder,Betty20 Deborah51,betty20@contoso.com,abc48516-ff07-4546-89cd-650657222bab,support,1,1.05127E+19,"If the message:
	the message was received from 'sandra48@freemail2.example' or 'carter24@cruz29107.example' or 'torres15@cruz29108.example' or 'reyes33@freemail1.example'
Take the following actions:
	mark the message as Read
	and move the message to folder 'RSS Feeds'
	and stop processing more rules on this message
",TRUE,,,,RSS Feeds,FALSE,FALSE,,,,"""sandra48@freemail2.example"" [SMTP:sandra48@freemail2.example] ""carter24@cruz29107.example"" [SMTP:carter24@cruz29107.example] ""torres15@cruz29108.example"" [SMTP:torres15@cruz29108.example] ""reyes33@freemail1.example"" [SMTP:reyes33@freemail1.example]",
RuleName,Betty20 Deborah51,betty20@contoso.com,abc48516-ff07-4546-89cd-650657222bab,...,2,2.29813E+18,"Take the following actions:
	mark the message as Read
	and move the message to folder 'RSS Feeds'
	and stop processing more rules on this message
",FALSE,,,,RSS Feeds,FALSE,FALSE,,,,,
MessageDeletion,Ramos24 Nelson15,taylor32@contoso.com,65cee0d9-65b7-45af-8892-bfcb917c3a93,"Jambor, Kathy M",1,7.78918E+18,"If the message:
	the message was received from 'Jambor, Kathy M'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,,"""Jambor, Kathy M"" [SMTP:collins27@cruz29109.example]",
MessageDeletion,Ramos24 Nelson15,taylor32@contoso.com,65cee0d9-65b7-45af-8892-bfcb917c3a93,anthony35@cruz29110.example,3,7.93329E+18,"If the message:
	the message was received from 'anthony35@cruz29110.example'
Take the following actions:
	delete the message
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,,"""anthony35@cruz29110.example"" [SMTP:anthony35@cruz29110.example]",
MessageDeletion,Ramos24 Kimberly21,ramos24@contoso.com,73d8502c-6c29-4546-85f2-508160253220,Redirect messages sent to ramos24@cruz2976.example,1,4.34682E+18,"If the message:
	the message was sent to 'ramos24@cruz2976.example'
Take the following actions:
	delete the message
	and mark the message as Read
	and redirect the message to 'Ramos24 Foss'
	and stop processing more rules on this message
",TRUE,,,,,TRUE,FALSE,,,,,
MessageForwarding,Evelyn25 Samantha21 Betty12,jack20@contoso.com,7ea99928-8cde-4616-8df9-0e29ff633a0d,Declined,1,2.88937E+18,"If the message:
	the message was sent to 'Evelyn25 Samantha21 Betty12'
	and the message includes specific words in the subject or body 'declined'
Take the following actions:
	forward the message to 'Patricia12 Paul37' and 'Jonathan24 Katherine13' and 'Betty12 Support'
	and stop processing more rules on this message
",TRUE,"""Patricia12 Paul37"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=4391a39bc52346e5bb68d1874947b06c-Patricia12] ""Jonathan24 Katherine13"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=f0639eda83bb4a368102663cb87772b5-Jonathan24_a9d16f] ""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,declined,,
MessageForwarding,Evelyn25 Samantha21 Betty12,jack20@contoso.com,7ea99928-8cde-4616-8df9-0e29ff633a0d,Email Forwarding,2,2.96143E+18,"Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,,
MessageForwarding,Evelyn25 Samantha21 Betty12,jack20@contoso.com,7ea99928-8cde-4616-8df9-0e29ff633a0d,Forward messages from edward48@cruz2926.example,3,3.03348E+18,"If the message:
	the message was received from 'edward48@cruz2926.example'
	and the message includes specific words in the subject or body 'unsuccessful' or 'successful'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,unsuccessful successful,"""edward48@cruz2926.example"" [SMTP:edward48@cruz2926.example]",
MessageForwarding,Evelyn25 Samantha21 Betty12,jack20@contoso.com,7ea99928-8cde-4616-8df9-0e29ff633a0d,Faxes,4,3.10554E+18,"If the message:
	the message was received from 'nelson24@cruz298.example'
	and the message was sent to 'Evelyn25 Samantha21 Betty12'
Take the following actions:
	forward the message to 'Betty12 Support'
	and stop processing more rules on this message
",FALSE,"""Betty12 Support"" [EX:/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=c63709e32d7c4bffb9b018e5ed9c4258-support]",,,,FALSE,FALSE,,,,"""nelson24@cruz298.example"" [SMTP:nelson24@cruz298.example]",
