"Creationtime","Localtime","ClientIP","Operation","UserId","ResultStatusDetail","KeepMeSignedIn","UserAgent","UserAuthenticationMethod","RequestType","DisplayName","OS","BrowserType","TrustType","IsCompliant","IsCompliantAndManaged","SessionId"
"2026-07-24 09:06:46","2026-07-24 02:06:46","45.9.249.58","UserLoggedIn","pradeepg@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:ProcessAuth","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:06:45","2026-07-24 02:06:45","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:EndAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:06:34","2026-07-24 02:06:34","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:BeginAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:06:33","2026-07-24 02:06:33","45.9.249.58","UserLoginFailed","pradeepg@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","1","Login:login","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-3b1c-373b-20e1-050e56978a6d"
"2026-07-24 09:06:09","2026-07-24 02:06:09","45.9.249.58","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:BeginAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 09:06:07","2026-07-24 02:06:07","45.9.249.58","UserLoginFailed","pradeepg@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","1","Login:login","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-419e-10b6-8046-06cf06f17e57"
"2026-07-24 08:47:22","2026-07-24 01:47:22","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","OAuth2:Authorize","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-06f1-639a-2ed5-4feba85fdd20"
"2026-07-24 08:47:20","2026-07-24 01:47:20","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","OAuth2:Authorize","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-06f1-639a-2ed5-4feba85fdd20"
"2026-07-24 08:29:40","2026-07-24 01:29:40","47.152.78.88","UserLoggedIn","diegos@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-0cd6-7f6f-2d4c-476a4584f4f3"
"2026-07-24 08:29:38","2026-07-24 01:29:38","47.152.78.88","UserLoggedIn","diegos@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","1","Login:login","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-0cd6-7f6f-2d4c-476a4584f4f3"
"2026-07-24 08:28:09","2026-07-24 01:28:09","129.232.209.234","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","Unavailable","SAS:BeginAuth","Unavailable","Windows","Firefox","Unavailable","False","False","Unavailable"
"2026-07-24 08:28:05","2026-07-24 01:28:05","129.232.209.234","UserLoginFailed","diegos@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","1","Login:login","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-9920-a488-55b1-35d75d55b914"
"2026-07-24 08:12:13","2026-07-24 01:12:13","2a00:8c40:f016:c037::1e66:c037","UserLoggedIn","nestorw@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0","Unavailable","OAuth2:Authorize","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-c519-8aa0-9bd7-786f5d01c402"
"2026-07-24 08:05:51","2026-07-24 01:05:51","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","Login:reprocess","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-06f1-639a-2ed5-4feba85fdd20"
"2026-07-24 08:05:46","2026-07-24 01:05:46","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-06f1-639a-2ed5-4feba85fdd20"
"2026-07-24 08:05:45","2026-07-24 01:05:45","47.152.78.88","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","SAS:EndAuth","Unavailable","Windows","Chrome","Unavailable","False","False","Unavailable"
"2026-07-24 08:05:45","2026-07-24 01:05:45","47.152.78.88","UserLoggedIn","bitpusher@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","SAS:ProcessAuth","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-06f1-639a-2ed5-4feba85fdd20"
"2026-07-24 08:05:33","2026-07-24 01:05:33","47.152.78.88","UserLoginFailed","bitpusher@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","1","Login:login","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-06f1-639a-2ed5-4feba85fdd20"
"2026-07-24 08:05:33","2026-07-24 01:05:33","47.152.78.88","UserLoggedIn","Not Available","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","SAS:BeginAuth","Unavailable","Windows","Chrome","Unavailable","False","False","Unavailable"
"2026-07-24 07:53:19","2026-07-24 00:53:19","2a00:8c40:f018:df83::30e8:df83","UserLoggedIn","nestorw@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-c519-8aa0-9bd7-786f5d01c402"
"2026-07-24 07:53:16","2026-07-24 00:53:16","2a00:8c40:f018:df83::30e8:df83","UserLoggedIn","nestorw@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0","1","Login:login","Unavailable","Windows10","Firefox","Unavailable","False","False","006e812a-c519-8aa0-9bd7-786f5d01c402"
"2026-07-24 07:51:23","2026-07-24 00:51:23","47.152.78.88","UserLoggedIn","gradya@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-fbcd-be93-b875-581d0873285a"
"2026-07-24 07:51:20","2026-07-24 00:51:20","47.152.78.88","UserLoggedIn","gradya@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","1","Login:login","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-fbcd-be93-b875-581d0873285a"
"2026-07-24 07:46:47","2026-07-24 00:46:47","47.152.78.88","UserLoggedIn","miriamg@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-1f34-3228-fc25-43fbd16ca77d"
"2026-07-24 07:46:45","2026-07-24 00:46:45","47.152.78.88","UserLoggedIn","miriamg@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","1","Login:login","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-1f34-3228-fc25-43fbd16ca77d"
"2026-07-24 07:44:00","2026-07-24 00:44:00","47.152.78.88","UserLoggedIn","diegos@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","Unavailable","Kmsi:kmsi","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-8cbc-c4c1-9b2a-8282181b37cd"
"2026-07-24 07:43:58","2026-07-24 00:43:58","47.152.78.88","UserLoggedIn","diegos@854jpt.onmicrosoft.com","Success","true","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","1","Login:login","Unavailable","Windows10","Chrome","Unavailable","False","False","006e812a-8cbc-c4c1-9b2a-8282181b37cd"
"2026-07-22 03:44:34","2026-07-21 20:44:34","47.152.78.88","UserLoggedIn","pradeepg@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Consent:Set","Unavailable","Windows10","Other","Unavailable","False","False","006e0bfa-db61-3f0b-0564-4e589b0659e1"
"2026-07-22 03:44:32","2026-07-21 20:44:32","47.152.78.88","UserLoginFailed","pradeepg@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Login:reprocess","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-8aca-b27d-df8d-f4bd45a1b77d"
"2026-07-22 03:43:59","2026-07-21 20:43:59","47.152.78.88","UserLoggedIn","pattif@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Consent:Set","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-8aca-b27d-df8d-f4bd45a1b77d"
"2026-07-22 03:43:57","2026-07-21 20:43:57","47.152.78.88","UserLoginFailed","pattif@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Login:reprocess","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-1d11-d5c4-efe4-b8bf62e72d13"
"2026-07-22 03:43:24","2026-07-21 20:43:24","47.152.78.88","UserLoggedIn","nestorw@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Consent:Set","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-1d11-d5c4-efe4-b8bf62e72d13"
"2026-07-22 03:43:21","2026-07-21 20:43:21","47.152.78.88","UserLoginFailed","nestorw@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Login:reprocess","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-1ca5-52f6-9b0c-2c7ea95f2b12"
"2026-07-22 03:42:40","2026-07-21 20:42:40","47.152.78.88","UserLoggedIn","miriamg@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Consent:Set","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-1ca5-52f6-9b0c-2c7ea95f2b12"
"2026-07-22 03:42:38","2026-07-21 20:42:38","47.152.78.88","UserLoginFailed","miriamg@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Login:reprocess","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-2b61-d4cc-c129-55582de0c7cc"
"2026-07-22 03:39:38","2026-07-21 20:39:38","47.152.78.88","UserLoggedIn","meganb@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Consent:Set","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-2b61-d4cc-c129-55582de0c7cc"
"2026-07-22 03:39:37","2026-07-21 20:39:37","47.152.78.88","UserLoginFailed","meganb@854jpt.onmicrosoft.com","Success","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Login:reprocess","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-5423-cb48-eb1e-8fdc64b33cf1"
"2026-07-22 03:39:19","2026-07-21 20:39:19","47.152.78.88","UserLoggedIn","lynner@854jpt.onmicrosoft.com","Redirect","Unavailable","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Thunderbird/152.0.1","Unavailable","Consent:Set","Unavailable","Windows10","Other","Unavailable","False","False","006e330a-5423-cb48-eb1e-8fdc64b33cf1"
