"Date","ActorUserPrincipalName","IPAddress","UserAgent","Activity","Result","Target1UserPrincipalName","Target1ModifiedProperty1Name","Service","Category","ResultReason","ActorType","ActorDisplayName","Target1Type","Target1DisplayName","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value"
"2025-09-29T20:07:39.7326817Z","sandoval42@contoso.com","52.171.195.33","","Consent to application","Success","","ConsentContext.IsAdminConsent","Core Directory","ApplicationManagement","","User","Patel14 Janet19 Service","ServicePrincipal","Ruth29 Bailey32 Jessica20 Melissa29 Young48","","""True""","ConsentContext.IsAppOnly","","""False""","ConsentContext.OnBehalfOfAll","","""False""","ConsentContext.Tags","","""WindowsAzureActiveDirectoryIntegratedApp""","ConsentAction.Permissions","","""[] => [[Id: AAAAAAAAAAAAAAAAAAAAAHfmpqZD5etJkoG-qcj9cOXKg-5wg029S6m7NaqBRnAZ, ClientId: f28ea500-6276-48ce-8fb2-edd8a60671ea, PrincipalId: b0ec99af-8455-4f4f-8de5-e269274e2e23, ResourceId: c6f113cf-3e02-45c0-8c9b-50ed2a7a906a, ConsentType: Principal, Scope:  UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All Kelly50mber.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All Mail.Edward48 Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All openid edwards37 thompson25_access, CreatedDateTime: , LastModifiedDateTime ]]; ""","AppId","351be83c-4d09-4eda-83f0-9ed6f80f191c"
"2025-09-29T20:07:39.7316809Z","sandoval42@contoso.com","52.171.195.33","","Add app role assignment grant to user","Success","","AppRole.Id","Core Directory","UserManagement","","User","Patel14 Janet19 Service","ServicePrincipal","Ruth29 Bailey32 Jessica20 Melissa29 Young48","","""f28ea500-6276-48ce-8fb2-edd8a60671ea""","AppRole.Value","","""""","AppRole.DisplayName","","""""","AppRoleAssignment.CreatedDateTime","","""2025-09-29T20:07:39.586684Z""","AppRoleAssignment.LastModifiedDateTime","","""2025-09-29T20:07:39.586684Z""","EvoSTS","AppId"
"2025-09-29T20:07:39.5536812Z","sandoval42@contoso.com","52.171.195.33","","Add delegated permission grant","Success","","DelegatedPermissionGrant.Scope","Core Directory","ApplicationManagement","","User","Patel14 Janet19 Service","ServicePrincipal","Ruth29 Bailey32","",""" UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All Kelly50mber.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All Mail.Edward48 Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All openid edwards37 thompson25_access""","DelegatedPermissionGrant.ConsentType","","""Principal""","ServicePrincipal.ObjectID","","""5e5c9350-b7ad-48c2-842b-d813973f08b3""","ServicePrincipal.DisplayName","","","ServicePrincipal.AppId","","","EvoSTS","AppId"
"2025-09-29T20:07:39.4346834Z","sandoval42@contoso.com","52.171.195.33","","Add service principal","Success","","AccountEnabled","Core Directory","ApplicationManagement","","User","Patel14 Janet19 Service","ServicePrincipal","Ruth29 Bailey32 Jessica20 Melissa29 Young48","[]","[true]","AppAddress","[]","[{""AddressType"":0,""Address"":""https://login.microsoftonline.com/common/oauth2/nativeclient"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""http://localhost"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""ms-appx-alvarez49://microsoft.aad.brokerplugin/351be83c-4d09-4eda-83f0-9ed6f80f191c"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false}]","AppPrincipalId","[]","[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]","DisplayName","[]","[""Ruth29 Bailey32 Jessica20 Melissa29 Young48""]","ServicePrincipalName","[]","[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]","AppId","351be83c-4d09-4eda-83f0-9ed6f80f191c"
"2025-09-29T20:07:34.8542048Z","sandoval42@contoso.com","52.171.195.33","","Consent to application","Failure","","ConsentContext.IsAdminConsent","Core Directory","ApplicationManagement","Microsoft.Online.Workflows.SpnValidationException","User","","","Unknown","","""True""","ConsentContext.IsAppOnly","","""False""","ConsentContext.OnBehalfOfAll","","""False""","ConsentContext.Tags","","""WindowsAzureActiveDirectoryIntegratedApp""","ConsentAction.Permissions","","""[] => [[Id: AAAAAAAAAAAAAAAAAAAAAHfmpqZD5etJkoG-qcj9cOXKg-5wg029S6m7NaqBRnAZ, ClientId: f28ea500-6276-48ce-8fb2-edd8a60671ea, PrincipalId: b0ec99af-8455-4f4f-8de5-e269274e2e23, ResourceId: c6f113cf-3e02-45c0-8c9b-50ed2a7a906a, ConsentType: Principal, Scope:  UserAuthenticationMethod.ReadWrite.All Directory.ReadWrite.All User.ReadWrite.All Group.ReadWrite.All Kelly50mber.Read.All Policy.Read.All Policy.ReadWrite.ConditionalAccess Application.ReadWrite.All Files.ReadWrite.All Sites.ReadWrite.All AuditLog.Read.All Agreement.Read.All IdentityRiskEvent.Read.All IdentityRiskyUser.ReadWrite.All Mail.Edward48 Mail.Read SecurityEvents.ReadWrite.All Directory.AccessAsUser.All AppRoleAssignment.ReadWrite.All openid edwards37 thompson25_access, CreatedDateTime: , LastModifiedDateTime ]]; ""","",""
"2025-09-29T20:07:34.8522035Z","sandoval42@contoso.com","52.171.195.33","","Add service principal","Failure","","AccountEnabled","Core Directory","ApplicationManagement","Microsoft.Online.Workflows.SpnValidationException","User","","ServicePrincipal","Ruth29 Bailey32 Jessica20 Melissa29 Young48","[]","[true]","AppAddress","[]","[{""AddressType"":0,""Address"":""https://login.microsoftonline.com/common/oauth2/nativeclient"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""http://localhost"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false},{""AddressType"":0,""Address"":""ms-appx-alvarez49://microsoft.aad.brokerplugin/351be83c-4d09-4eda-83f0-9ed6f80f191c"",""ReplyAddressClientType"":2,""ReplyAddressIndex"":null,""IsReplyAddressDefault"":false}]","AppPrincipalId","[]","[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]","DisplayName","[]","[""Ruth29 Bailey32 Jessica20 Melissa29 Young48""]","ServicePrincipalName","[]","[""351be83c-4d09-4eda-83f0-9ed6f80f191c""]","AppId","351be83c-4d09-4eda-83f0-9ed6f80f191c"
"2025-09-29T20:05:42.7438241Z","","","","Update user","Success","nguyen22@contoso.com","Included Updated Properties","Core Directory","UserManagement","","Application","Ruth29 Samantha45 Matthew13","User","","","""""","TargetId.UserType","","""Member""","ActorId.ServicePrincipalNames","","""69f575b3-0ad9-437c-8473-e2cbc5ccab9d""","SPN","","""69f575b3-0ad9-437c-8473-e2cbc5ccab9d""","","","","",""
"2025-09-29T20:03:44.4680783Z","sandoval42@contoso.com","40.136.227.209","Mozilla/5.0, (Windows NT 10.0; Win64; x64), AppleWebKit/537.36, (KHTML, like Gecko), Chrome/139.0.0.235, Safari/537.36","Admin deleted security info","Success","betty20@contoso.com","MicrosoftAuthenticatorAuthenticationMethod.Id","Authentication Methods","UserManagement","Admin required re-registration of MFA authentication methods.","User","External Vendor 2 Admin","User","Betty20 Deborah51","""67d8b924-ce06-4252-8e2e-5480effd0f5d""","""""","MicrosoftAuthenticatorAuthenticationMethod.DisplayName","""iPhone 14""","""""","MicrosoftAuthenticatorAuthenticationMethod.DeviceTag","""SoftwareTokenActivated""","""""","MicrosoftAuthenticatorAuthenticationMethod.PhoneAppVersion","""6.8.30""","""""","MicrosoftAuthenticatorAuthenticationMethod.Id","""185d4758-fc57-492f-8188-61199e6581eb""","""""","",""
"2025-09-29T20:03:44.1476908Z","","","","Update user","Success","betty20@contoso.com","StrongAuthenticationMethod","Core Directory","UserManagement","","Application","Patel14 Gray19 King17 Taylor29 Service","User","","[{""MethodType"":6,""Default"":true},{""MethodType"":7,""Default"":false}]","[]","StrongAuthenticationUserDetails","[]","[{""PhoneNumber"":null,""AlternativePhoneNumber"":null,""Email"":null,""VoiceOnlyPhoneNumber"":null}]","Included Updated Properties","","""StrongAuthenticationMethod, StrongAuthenticationUserDetails""","TargetId.UserType","","""Member""","","","","",""
"2025-09-29T20:03:43.7047924Z","","","","Update user","Success","betty20@contoso.com","StrongAuthenticationPhoneAppDetail","Core Directory","UserManagement","","Application","Patel14 Gray19 King17 Taylor29 Service","User","","[{""DeviceName"":""samantha22 14 Laura31 Max"",""DeviceToken"":""apns2-2df880c8a8c22bba355f953f59b658a57c11fbd6705f2cc68326a543c63e74b6"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""6.8.29"",""OathTokenTimeDrift"":0,""DeviceId"":""f28ea500-6276-48ce-8fb2-edd8a60671ea"",""Id"":""185d4758-fc57-492f-8188-61199e6581eb"",""TimeInterval"":0,""AuthenticationType"":3,""NotificationType"":2,""LastAuthenticatedTimestamp"":""2025-09-08T16:54:31.2300451Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":null,""TenantDeviceId"":null,""SecuredPartitionId"":20088,""SecuredKeyId"":7}]","[]","Included Updated Properties","","""StrongAuthenticationPhoneAppDetail""","TargetId.UserType","","""Member""","","","","","","","",""
"2025-09-29T20:03:43.2704586Z","","","","Update user","Success","betty20@contoso.com","StrongAuthenticationPhoneAppDetail","Core Directory","UserManagement","","Application","Patel14 Gray19 King17 Taylor29 Service","User","","[{""DeviceName"":""iPhone 14"",""DeviceToken"":""apns2-3ae0636063cf2bb7bc035f327d7f6882297d008aee6d53f2797b62ec78d82d86"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""6.8.30"",""OathTokenTimeDrift"":0,""DeviceId"":""f28ea500-6276-48ce-8fb2-edd8a60671ea"",""Id"":""67d8b924-ce06-4252-8e2e-5480effd0f5d"",""TimeInterval"":0,""AuthenticationType"":3,""NotificationType"":2,""LastAuthenticatedTimestamp"":""2025-09-29T16:26:29.0073681Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":null,""TenantDeviceId"":null,""SecuredPartitionId"":20088,""SecuredKeyId"":7},{""DeviceName"":""samantha22 14 Laura31 Max"",""DeviceToken"":""apns2-2df880c8a8c22bba355f953f59b658a57c11fbd6705f2cc68326a543c63e74b6"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""6.8.29"",""OathTokenTimeDrift"":0,""DeviceId"":""f28ea500-6276-48ce-8fb2-edd8a60671ea"",""Id"":""185d4758-fc57-492f-8188-61199e6581eb"",""TimeInterval"":0,""AuthenticationType"":3,""NotificationType"":2,""LastAuthenticatedTimestamp"":""2025-09-08T16:54:31.2300451Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":null,""TenantDeviceId"":null,""SecuredPartitionId"":20088,""SecuredKeyId"":7}]","[{""DeviceName"":""samantha22 14 Laura31 Max"",""DeviceToken"":""apns2-2df880c8a8c22bba355f953f59b658a57c11fbd6705f2cc68326a543c63e74b6"",""DeviceTag"":""SoftwareTokenActivated"",""PhoneAppVersion"":""6.8.29"",""OathTokenTimeDrift"":0,""DeviceId"":""f28ea500-6276-48ce-8fb2-edd8a60671ea"",""Id"":""185d4758-fc57-492f-8188-61199e6581eb"",""TimeInterval"":0,""AuthenticationType"":3,""NotificationType"":2,""LastAuthenticatedTimestamp"":""2025-09-08T16:54:31.2300451Z"",""AuthenticatorFlavor"":""Authenticator"",""HashFunction"":null,""TenantDeviceId"":null,""SecuredPartitionId"":20088,""SecuredKeyId"":7}]","Included Updated Properties","","""StrongAuthenticationPhoneAppDetail""","TargetId.UserType","","""Member""","","","","","","","",""
"2025-09-29T20:03:39.5923999Z","sandoval42@contoso.com","40.136.227.209","Mozilla/5.0, (Windows NT 10.0; Win64; x64), AppleWebKit/537.36, (KHTML, like Gecko), Chrome/139.0.0.235, Safari/537.36","Restore multifactor authentication on all remembered devices","Success","betty20@contoso.com","StrongAuthenticationRequirements","Authentication Methods","UserManagement","Admin successfully restored multifactor authentication on all remembered devices.","User","External Vendor 2 Admin","User","Betty20 Deborah51","""[{\""relyingParty\"":\""*\"",\""state\"":\""Enforced\"",\""rememberDevicesNotIssuedBefore\"":\""2024-03-26T18:06:17Z\""}]""","""[{\""relyingParty\"":\""*\"",\""state\"":\""Enforced\"",\""rememberDevicesNotIssuedBefore\"":\""2025-09-29T20:03:37.923\""}]""","","","","","","","","","","","","","",""
"2025-09-29T20:03:39.5053937Z","","","","Update user","Success","betty20@contoso.com","StrongAuthenticationRequirement","Core Directory","UserManagement","","Application","Patel14 Gray19 King17 Taylor29 Service","User","","[{""RelyingParty"":""*"",""State"":0,""RememberDevicesNotIssuedBefore"":""2024-03-26T18:06:17+00:00""}]","[{""RelyingParty"":""*"",""State"":0,""RememberDevicesNotIssuedBefore"":""2025-09-29T20:03:37.923Z""}]","Included Updated Properties","","""StrongAuthenticationRequirement""","TargetId.UserType","","""Member""","","","","","","","",""
"2025-09-29T20:03:06.470381Z","sandoval42@contoso.com","40.126.23.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.235 Sa","Validate user authentication","Success","","","B2C","Authentication","Token is valid","User","sandoval42@contoso.com","Other","f28ea500-6276-48ce-8fb2-edd8a60671ea","","","","","","","","","","","","","","","targetEntityType","None"
"2025-09-29T20:01:46.7517663Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:01:41Z""]","[""2025-09-29T20:01:46Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:01:46.7507674Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update StsRefreshTokenValidFrom Timestamp","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:01:41Z""]","[""2025-09-29T20:01:46Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","",""
"2025-09-29T20:01:46.418639Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","AccountEnabled","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[true]","[false]","Included Updated Properties","","""AccountEnabled""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:01:46.4176387Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Disable account","Success","betty20@contoso.com","AccountEnabled","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[true]","[false]","Included Updated Properties","","""AccountEnabled""","","","","","","","","","","",""
"2025-09-29T20:01:41.2608394Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:01:36Z""]","[""2025-09-29T20:01:41Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:01:41.2598407Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update StsRefreshTokenValidFrom Timestamp","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:01:36Z""]","[""2025-09-29T20:01:41Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","",""
"2025-09-29T20:01:36.9521717Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:00:37Z""]","[""2025-09-29T20:01:36Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:01:36.9511736Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update StsRefreshTokenValidFrom Timestamp","Success","betty20@contoso.com","StsRefreshTokensValidFrom","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[""2025-09-29T20:00:37Z""]","[""2025-09-29T20:01:36Z""]","Included Updated Properties","","""StsRefreshTokensValidFrom""","","","","","","","","","","",""
"2025-09-29T20:01:36.6318344Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Update user","Success","betty20@contoso.com","AccountEnabled","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[false]","[true]","Included Updated Properties","","""AccountEnabled""","TargetId.UserType","","""Member""","","","","","","","User-Bailey15","O365AdminPortal"
"2025-09-29T20:01:36.6308302Z","sandoval42@contoso.com","2603:1036:2405:cddc:5317:3da1:5901:c7","","Enable account","Success","betty20@contoso.com","AccountEnabled","Core Directory","UserManagement","","User","Ruth29 Davis27 365 Barbara23","User","","[false]","[true]","Included Updated Properties","","""AccountEnabled""","","","","","","","","","","",""
